year,month,day,sales_date_std,order_id,customer_name,product_name,category,price,quantity,total,shipping_fee,total_sales,status,shipping_address,kota
2025,7,31,45869,ORD00001,Customer_332,Kitchen Set,Dapur,9500000,1,9500000,60000,9560000,cancelled,Kelurahan 120 Jakarta Pusat,Jakarta Pusat
2025,11,3,45964,ORD00002,Customer_1150,Nakas,Kamar Tidur,1000000,2,2000000,60000,2060000,completed,Kelurahan 9 Jakarta Pusat,Jakarta Pusat
2025,10,31,45961,ORD00003,Customer_2122,Kursi Bar,Ruang Makan,1295000,2,2590000,60000,2650000,completed,Kelurahan 108 Jakarta Pusat,Jakarta Pusat
2025,6,19,45827,ORD00004,Customer_2636,Kasur,Kamar Tidur,5500000,3,16500000,50000,16550000,completed,Kelurahan 36 Bogor,Bogor
2025,6,19,45827,ORD00005,Customer_3379,Meja Makan,Ruang Makan,3200000,3,9600000,60000,9660000,completed,Kelurahan 73 Tangerang,Tangerang
2025,1,11,45668,ORD00006,Customer_793,Lemari Dapur,Dapur,1850000,1,1850000,60000,1910000,completed,Kelurahan 176 Tangerang,Tangerang
2025,12,5,45996,ORD00007,Customer_469,Nakas,Kamar Tidur,1000000,3,3000000,60000,3060000,completed,Kelurahan 143 Jakarta Pusat,Jakarta Pusat
2025,1,22,45679,ORD00008,Customer_1544,Lemari Laci,Kamar Tidur,1950000,3,5850000,60000,5910000,completed,Kelurahan 128 Jakarta Pusat,Jakarta Pusat
2025,10,3,45933,ORD00009,Customer_1851,Meja Makan,Ruang Makan,3200000,3,9600000,60000,9660000,completed,Kelurahan 22 Jakarta Selatan,Jakarta Selatan
2025,4,4,45751,ORD00010,Customer_478,Lemari TV,Ruang Tamu,2300000,1,2070000,50000,2120000,completed,Kelurahan 94 Depok,Depok
2025,5,24,45801,ORD00011,Customer_3107,Nakas,Kamar Tidur,1000000,1,1000000,60000,1060000,completed,Kelurahan 163 Tangerang,Tangerang
2025,8,15,45884,ORD00012,Customer_1580,Lemari Laci,Kamar Tidur,1950000,3,5850000,60000,5910000,completed,Kelurahan 31 Tangerang,Tangerang
2025,12,30,46021,ORD00013,Customer_555,Lemari Baju,Kamar Tidur,3500000,1,3500000,60000,3560000,completed,Kelurahan 158 Tangerang,Tangerang
